"Index","Animation","Children","Comedy","Adventure","Fantasy","Romance","Drama","Action","Crime","Thriller","Horror","SciFi","Documentary","War","Musical","Mystery","FilmNoir","Western"
1,"Toy Story (1995)","E.T. the Extra-Terrestrial (1982)","American Beauty (1999)","Star Wars: Episode IV - A New Hope (1977)","Star Wars: Episode IV - A New Hope (1977)","Star Wars: Episode VI - Return of the Jedi (1983)","American Beauty (1999)","Star Wars: Episode IV - A New Hope (1977)","Fargo (1996)","Terminator 2: Judgment Day (1991)","Ghostbusters (1984)","Star Wars: Episode IV - A New Hope (1977)","Roger & Me (1989)","Star Wars: Episode V - The Empire Strikes Back (1980)","Wizard of Oz, The (1939)","L.A. Confidential (1997)","L.A. Confidential (1997)","Dances with Wolves (1990)"
2,"Who Framed Roger Rabbit? (1988)","Toy Story (1995)","Back to the Future (1985)","Star Wars: Episode V - The Empire Strikes Back (1980)","E.T. the Extra-Terrestrial (1982)","Shakespeare in Love (1998)","Star Wars: Episode V - The Empire Strikes Back (1980)","Star Wars: Episode V - The Empire Strikes Back (1980)","L.A. Confidential (1997)","Matrix, The (1999)","Alien (1979)","Star Wars: Episode V - The Empire Strikes Back (1980)","Hoop Dreams (1994)","Star Wars: Episode VI - Return of the Jedi (1983)","Aladdin (1992)","2001: A Space Odyssey (1968)","Blade Runner (1982)","Butch Cassidy and the Sundance Kid (1969)"
3,"Bug's Life, A (1998)","Babe (1995)","Men in Black (1997)","Star Wars: Episode VI - Return of the Jedi (1983)","Star Wars: Episode I - The Phantom Menace (1999)","Princess Bride, The (1987)","Saving Private Ryan (1998)","Star Wars: Episode VI - Return of the Jedi (1983)","Godfather, The (1972)","Silence of the Lambs, The (1991)","Jaws (1975)","Star Wars: Episode VI - Return of the Jedi (1983)","Crumb (1994)","Saving Private Ryan (1998)","Blues Brothers, The (1980)","Talented Mr. Ripley, The (1999)","Chinatown (1974)","Blazing Saddles (1974)"
4,"Toy Story 2 (1999)","Wizard of Oz, The (1939)","Shakespeare in Love (1998)","Jurassic Park (1993)","Beetlejuice (1988)","Groundhog Day (1993)","Silence of the Lambs, The (1991)","Jurassic Park (1993)","Pulp Fiction (1994)","Fargo (1996)","Psycho (1960)","Jurassic Park (1993)","American Movie (1999)","Braveheart (1995)","Lion King, The (1994)","Chinatown (1974)","Maltese Falcon, The (1941)","Unforgiven (1992)"
5,"Aladdin (1992)","Bug's Life, A (1998)","Princess Bride, The (1987)","Men in Black (1997)","Big (1988)","Forrest Gump (1994)","Fargo (1996)","Saving Private Ryan (1998)","Usual Suspects, The (1995)","Sixth Sense, The (1999)","Blair Witch Project, The (1999)","Terminator 2: Judgment Day (1991)","When We Were Kings (1996)","Schindler's List (1993)","This Is Spinal Tap (1984)","Big Lebowski, The (1998)","Dark City (1998)","Good, The Bad and The Ugly, The (1966)"
6,"Chicken Run (2000)","Toy Story 2 (1999)","Groundhog Day (1993)","Raiders of the Lost Ark (1981)","Willy Wonka and the Chocolate Factory (1971)","Casablanca (1942)","Braveheart (1995)","Terminator 2: Judgment Day (1991)","Godfather: Part II, The (1974)","L.A. Confidential (1997)","Rocky Horror Picture Show, The (1975)","Matrix, The (1999)","Thin Blue Line, The (1988)","Forrest Gump (1994)","Beauty and the Beast (1991)","Rear Window (1954)","Manchurian Candidate, The (1962)","Maverick (1994)"
7,"South Park: Bigger, Longer and Uncut (1999)","Aladdin (1992)","Being John Malkovich (1999)","Princess Bride, The (1987)","Mask, The (1994)","Speed (1994)","Schindler's List (1993)","Matrix, The (1999)","GoodFellas (1990)","Terminator, The (1984)","Young Frankenstein (1974)","Back to the Future (1985)","Stop Making Sense (1984)","Aliens (1986)","Little Mermaid, The (1989)","Maltese Falcon, The (1941)","Blood Simple (1984)","Little Big Man (1970)"
8,"Lion King, The (1994)","Chicken Run (2000)","Forrest Gump (1994)","Star Wars: Episode I - The Phantom Menace (1999)","Splash (1984)","When Harry Met Sally... (1989)","E.T. the Extra-Terrestrial (1982)","Men in Black (1997)","Lethal Weapon (1987)","Alien (1979)","Shining, The (1980)","Men in Black (1997)","Buena Vista Social Club (1999)","Casablanca (1942)","Mary Poppins (1964)","X-Files: Fight the Future, The (1998)","Double Indemnity (1944)","Tombstone (1993)"
9,"Beauty and the Beast (1991)","Willy Wonka and the Chocolate Factory (1971)","Ghostbusters (1984)","Total Recall (1990)","Time Bandits (1981)","Titanic (1997)","Shawshank Redemption, The (1994)","Raiders of the Lost Ark (1981)","Batman (1989)","Total Recall (1990)","Fly, The (1986)","E.T. the Extra-Terrestrial (1982)","Trekkies (1997)","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)","Nightmare Before Christmas, The (1993)","Vertigo (1958)","Big Sleep, The (1946)","Fistful of Dollars, A (1964)"
10,"Little Mermaid, The (1989)","Lion King, The (1994)","Toy Story (1995)","Who Framed Roger Rabbit? (1988)","Tron (1982)","Edward Scissorhands (1990)","Godfather, The (1972)","Braveheart (1995)","Reservoir Dogs (1992)","Fugitive, The (1993)","Sleepy Hollow (1999)","Star Wars: Episode I - The Phantom Menace (1999)","Fast, Cheap & Out of Control (1997)","Full Metal Jacket (1987)","Fantasia (1940)","Game, The (1997)","Touch of Evil (1958)","High Noon (1952)"
